CUSTOM_ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_LABEL,GROUP_NAME,DATA_TYPE_CODE,DATA_TYPE_DESC,DATA_LENGTH,DEFAULT_VALUE,LOOKUP_CLASS,LOOKUP_RETURN,DOCUMENT_TYPE_CODE,ATTACHED_MODULE,IS_REQUIRED,ACTIVE_FLAG,AWARD_VALUE_ROWS,AWARD_DISTINCT_VALUES,PROPOSAL_VALUE_ROWS,PROPOSAL_DISTINCT_VALUES,SUBAWARD_VALUE_ROWS,SUBAWARD_DISTINCT_VALUES,NEGOTIATION_VALUE_ROWS,NEGOTIATION_DISTINCT_VALUES,DOC_VALUE_ROWS,DOC_DISTINCT_VALUES
650,sp_all_3,Space Allocation % 3,Space,2,Number,3,,,,AWRD,,N,Y,197041,1,114801,4,0,0,0,0,0,0
4,postdoc-trainee,Post-Doctoral Trainee Count,Training Grant Supplemental Data,2,Number,3,,,,AWRD,,N,N,46965,1,5745,0,0,0,0,0,75197,1
3,predoc_trainee,Pre-Doctoral Trainee Count,Training Grant Supplemental Data,2,Number,3,,,,AWRD,,N,N,46965,2,5745,1,0,0,0,0,75197,2
480,ip_submission_date,Submitted Date,Additional Dates,3,Date,,,,,INPR,,N,Y,0,0,109074,4313,0,0,0,0,0,0
500,center_affiliation,Center Affiliation,Center Affiliation,1,String,,,org.kuali.coeus.common.framework.unit.Unit,unitNumber,INPR,,N,Y,197041,101,114801,155,0,0,0,0,0,0
1540,ExportCntrlBlank,Export Control section left blank on PSF,Export Control,4,Boolean,,,,,INPR,ExportCntrlBlank,N,Y,0,0,68096,2,0,0,0,0,0,0
1500,ExportCntrlNA,Export Control Not Applicable,Export Control,4,Boolean,,,,,INPR,ExportCntrlNA,N,Y,0,0,68119,2,0,0,0,0,0,0
1530,ExportCntrlRestriction,Export control restrictions,Export Control,4,Boolean,,,,,INPR,ExportCntrlRestriction,N,Y,0,0,68116,2,0,0,0,0,0,0
1510,PriorApprvDissemPub,Prior approval for dissemination/publications,Export Control,4,Boolean,,,,,INPR,PriorApprvDissemPub,N,Y,0,0,68119,2,0,0,0,0,0,0
1520,RestrictForeignN,Restrictions on access or participation by foreign nationals,Export Control,4,Boolean,,,,,INPR,RestrictForeignN,N,Y,0,0,68117,2,0,0,0,0,0,0
1120,cancld_billing_agrmt,Cancelled Billing Agreement,Fellowships,4,Boolean,70,,,,INPR,Activity Code,N,N,0,0,0,0,0,0,0,0,0,0
1110,post_doc_fellow,Postdoctoral Fellowship? (Y/N),Fellowships,4,Boolean,,No,,,INPR,,N,Y,194547,1,113689,1,0,0,0,0,0,0
1100,pre_doc_fellow,Predoctoral Fellowship? (Y/N),Fellowships,4,Boolean,,No,,,INPR,,N,Y,194548,1,113689,1,0,0,0,0,0,0
1215,ActvCode,NIH Activity Code,General,1,String,4,,,,INPR,ActvCode,N,Y,123425,68,91344,131,0,0,0,0,0,0
1222,COVID_Vaccine_Mandate,COVID Vaccine Mandate,General,4,Boolean,,,,,INPR,COVID_Vaccine_Mandate,N,N,59899,1,33297,1,0,0,0,0,0,0
1221,Covid_19_Research,COVID-19 Research,General,4,Boolean,,,,,INPR,Covid_19_Research,N,N,89440,2,51012,2,0,0,0,0,0,0
9,Limited_Submission_Opportunity,Limited Submission Opportunity,General,4,Boolean,,,,,INPR,Limited_Submission_Opportunity,N,Y,11101,0,7346,0,0,0,0,0,0,0
1214,OppNum,Opportunity Number,General,1,String,,,,,INPR,OppNum,N,Y,123425,1287,91394,6878,0,0,0,0,0,0
1209,OppTitle,Opportunity Title,General,1,String,,,,,INPR,OppTitle,N,Y,123425,1713,91394,5454,0,0,0,0,0,0
6,Trump_Exec_Order_Cert,Trump Exec Order Cert,General,4,Boolean,,,,,INPR,Trump_Exec_Order_Cert_Det,N,Y,22102,2,14571,2,0,0,0,0,0,0
5,Trump_Exec_Order_Cert_Det,Trump Exec Order Cert Det,General,5,Long String,,,,,INPR,Trump_Exec_Order_Cert,N,Y,22102,6,14571,2,0,0,0,0,0,0
753,3rd_party,Will these staff be third party contractors? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
795,Internl_countries,Country or countries involved,International Activity,1,String,,,,,INPR,,N,Y,197040,261,114801,567,0,0,0,0,0,0
780,bank_acct,Will you be opening and operating an in-country bank account? (Y/N),International Activity,4,Boolean,,,,,INPR,,N,Y,197041,2,114801,2,0,0,0,0,0,0
